# a8-r49-triage.py — r0049/agent8. class, site, tier, note, text
U	ScottDomains/ScottDomains/A1Lemma24.lean:3	SCOPE		-- own greatest element. That element is Gunter's base `X`; nothing else in the
U	ScottDomains/ScottDomains/A1R46.lean:105	SCOPE		nothing else. The complementary check — that no bar was lowered — is that
U	ScottDomains/ScottDomains/A1Theorem2.lean:66	SCOPE		`T − Y = f*(S − g*(Y))`, whose last step is the only place `f`'s injectivity is
N	ScottDomains/ScottDomains/A2Lemma28.lean:207	CITE-OK		two — `Lemma28AtU.lemma28AtU_of'`'s hypotheses are necessary as well as
U	ScottDomains/ScottDomains/A2Lemma28.lean:241	SCOPE		It is this proposition, and nothing else. -/
U	ScottDomains/ScottDomains/A2Lemma28.lean:262	SCOPE		/-- **Universality fails at the counterexample, and that is the only thing that
N	ScottDomains/ScottDomains/A2Thm29Universal.lean:146	NARR		Only the one-step form is needed, and it is what is proved here  a *maximal*
U	ScottDomains/ScottDomains/A2Thm29Universal.lean:401	SCOPE		needs, so nothing else has to be re-established along the way. -/
U	ScottDomains/ScottDomains/A2Thm29Universal.lean:407	SCOPE		-- `Function.invFunOn` needs, and it is the only use of the hypothesis.
N	ScottDomains/ScottDomains/A2Thm29Universal.lean:730	CITE	A3Thm29.not_thm29NormalWithoutDomain=wrong-module-qualifier	`A3Thm29.not_thm29NormalWithoutDomain` already show this half is not optional
N	ScottDomains/ScottDomains/A2Thm29Universal.lean:731	NARR		— without it the conclusion is refutable.
A	ScottDomains/ScottDomains/A3Lemma30Schemes.lean:28	NARR		zero hits. What it *did* have is the whole functor half 
U	ScottDomains/ScottDomains/A3Lemma30Schemes.lean:39	SCOPE		the ordering entering through the single argument `hmono`.
A	ScottDomains/ScottDomains/A3Lemma30Schemes.lean:53	CITE-OK		Lemma 28's nine, and it is why there is no `repPlotkinAtU` here to match
U	ScottDomains/ScottDomains/A3Lemma30Schemes.lean:72	SCOPE		V`, while `PRepFun.rep_arrow` and `PRepFun.rep_strictArrow` — the only routes to
U	ScottDomains/ScottDomains/A3Thm29.lean:38	SCOPE		Step 2 is the only one with content. Given `p ∘ g = id` and `g ∘ p ⊑ id` and a
N	ScottDomains/ScottDomains/A3Thm29.lean:176	CITE-OK		/-! ## The added `[Domain E]` is load-bearing in `Thm29Normal` too
U	ScottDomains/ScottDomains/A3Thm29.lean:179	SCOPE		binder added, `[Domain E]`, and nothing else changed — compare the two `def`
N	ScottDomains/ScottDomains/A3Thm29.lean:185	NARR		`LemThirty.lean 506–512` asserts in a docstring that the version without it "is
U	ScottDomains/ScottDomains/A3Thm29.lean:261	SCOPE		`PRep.rep_prod` are the only two of Lemma 28's nine schemes already proved") 
A	ScottDomains/ScottDomains/A3Thm29.lean:324	CITE-OK		conjuncts are open "whose `PRep` schemes do not exist". Two of the three schemes
A	ScottDomains/ScottDomains/A4FunctionSpaceBifinite.lean:132	CITE-OK		and `PRepFun.val_image_compactsBelow` carry no such binder and are reused. -/
U	ScottDomains/ScottDomains/A4Lemma17Fun.lean:12	SCOPE		(`directedOn_finiteJoinsBelow`) is the sole consumer of bounded completeness.
U	ScottDomains/ScottDomains/A4Lemma17Fun.lean:25	SCOPE		* Its least upper bound is `f` (`isLUB_approx`). This is the only step with
