# claim-census.20260810-155203.agent1.tsv — round r0052, agent1.
#
# The 72 Prop-valued `def`s that no package theorem concludes unconditionally,
# adjudicated one row each. Source: analyses/a6-env-r52.txt, the r0052 baseline
# run of scripts/a6-env-scan.sh (120 Prop-valued defs, 72 undischarged), listed
# by scripts/a1-r52-undischarged.py and read against the docstrings printed by
# scripts/a6-context.py. Line numbers are that scan's; LemThirty.lean and
# Effective/A3StepDecidable.lean shifted afterwards when r0052 inserted the two
# `_unproven` theorems.
#
# verdict  alias    an r0050 `alias Thm… := Theorem…` scaffolding def, deleted in
#                   r0050 phase 2; excluded from the census (9 of the 72).
#          claim    a result the paper — or a cited paper — asserts, written as a
#                   `def` because nobody proved it.
#          concept  a predicate the development defines so theorems can quantify
#                   over it. "Nobody proved it outright" is its correct state.
# state    open | refuted | -   (claims only; refuted = a kernel-checked ¬)
#
# Totals: 9 aliases excluded, 13 claims (8 open, 5 refuted), 50 concepts.
#
# The alias rows matter to the count and not only to hygiene: `Theorem137`,
# `Theorem137Chains` and `Theorem137Omega` were PROVED in r0045 and are not in
# this population, but their aliases are, because the proofs conclude the new
# name. Counting the aliases would report three resolved claims as open.
#
#	name	module	line	verdict	state	reason
1	ScottDomains.R46.Agent1.StepFunctionsDecidableUnconditional	ScottDomains.A1R46	100	concept	-	rejected transcription kept verbatim for audit; its own docstring says "Not a claim of the paper" and forbids counting it as an open result
2	ScottDomains.R46.Agent2.IsRoot	ScottDomains.A2Thm29Universal	117	concept	-	Gunter 1987 Proposition 19's definition of the root of a poset, as a predicate theorems are stated about
3	ScottDomains.R46.Agent2.SameTypeOver	ScottDomains.A2Thm29Universal	224	concept	-	names "y realizes over A the type z realizes over g''A"; a relation the realization argument quantifies over
4	ScottDomains.R46.Agent2.HasNormalRealizations	ScottDomains.A2Thm29Universal	256	concept	-	Gunter 1987 Theorem 25's HYPOTHESIS on V, as a property of a poset; the paper asserts no instance of it, and the instance that was wanted is refuted (R47.Agent1.not_hasNormalRealizations_Ainf)
5	ScottDomains.R46.Agent2.HasFiniteExtensions	ScottDomains.A2Thm29Universal	272	concept	-	the finite-chunk form of the same hypothesis, derived from row 4 by Gunter's Proposition 21; a property, not an assertion
6	ScottDomains.R45.Agent3.Theorem29NormalWithoutDomain	ScottDomains.A3Thm29	194	claim	refuted	Thm29Normal with [Domain E] deleted; R45.Agent3.not_thm29NormalWithoutDomain refutes it (A∞ is countable, Flat (Set ℕ) is bifinite with uncountable basis)
7	ScottDomains.R45.Agent3.Thm29NormalWithoutDomain	ScottDomains.A3Thm29	199	alias	-	r0050 alias of row 6
8	ScottDomains.R49.Agent7.IsSubalgebraOf	ScottDomains.A7Thm26Arity	96	concept	-	"S is a subalgebra of the fixed algebra", closed under each operation; a predicate
9	ScottDomains.R49.Agent7.IsAlgEmbedding	ScottDomains.A7Thm26Arity	104	concept	-	"h is an isomorphism onto a subalgebra"; a predicate the printed conclusion is phrased with
10	ScottDomains.R49.Agent7.ArgwiseContinuous	ScottDomains.A7Thm26Arity	133	concept	-	continuity of the operations argumentwise; a hypothesis shape, not an assertion
11	ScottDomains.R49.Agent7.Theorem26Printed	ScottDomains.A7Thm26Arity	145	claim	refuted	Theorem 26 exactly as printed; not_thm26Printed_of_two_zero_arities refutes it for any signature with two 0-ary slots, including the paper's own (2,0,0,0,0,0)
12	ScottDomains.R49.Agent7.Thm26Printed	ScottDomains.A7Thm26Arity	152	alias	-	r0050 alias of row 11
13	ScottDomains.Atomless.Legal	ScottDomains.Atomless	288	concept	-	the side condition on a construction step (bounded pair, no late acquisition); a predicate the construction is stated over
14	ScottDomains.ClosureProperties.SelectsGreatest	ScottDomains.ClosureProperties.Powerdomain	68	concept	-	"M selects greatest approximants", the pre-order form of normal-subposet-with-projection; a predicate
15	ScottDomains.IsNonBotSum	ScottDomains.CoalescedSum	82	concept	-	names the non-bottom injections of a coalesced sum; 153 references, all as a predicate
16	ScottDomains.Colimit.Theorem29Second	ScottDomains.Colimit	1051	claim	refuted	Theorem 29's second sentence without the paper's word "domain"; R45.Agent3.not_thm29Second refutes it at E := Flat (Set ℕ)
